PASSENGERS,UNIQUE_CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,MONTH
0,Arctic Transportation,KVL,"Kivalina, AK",OTZ,"Kotzebue, AK",1
,,,,,,
0,Arctic Transportation,KWK,"Kwigillingok, AK",BET,"Bethel, AK",1
,,,,,,
0,Arctic Transportation,KWN,"Quinhagak, AK",BET,"Bethel, AK",1
,,,,,,
0,Arctic Transportation,MLL,"Marshall, AK",BET,"Bethel, AK",1
,,,,,,
0,Arctic Transportation,MYU,"Mekoryuk, AK",BET,"Bethel, AK",1
,,,,,,
0,Arctic Transportation,NME,"Nightmute, AK",BET,"Bethel, AK",1
,,,,,,
0,Arctic Transportation,OME,"Nome, AK",ELI,"Elim, AK",1
,,,,,,
0,Arctic Transportation,OME,"Nome, AK",GAM,"Gambell, AK",1
,,,,,,
0,Arctic Transportation,OME,"Nome, AK",GLV,"Golovin, AK",1
,,,,,,
0,Arctic Transportation,OME,"Nome, AK",KTS,"Brevig Mission, AK",1
,,,,,,
0,Arctic Transportation,OME,"Nome, AK",OTZ,"Kotzebue, AK",1
,,,,,,
0,Arctic Transportation,OME,"Nome, AK",SHH,"Shishmaref, AK",1
,,,,,,
0,Arctic Transportation,OME,"Nome, AK",SVA,"Savoonga, AK",1
,,,,,,
0,Arctic Transportation,OME,"Nome, AK",TLA,"Teller, AK",1
,,,,,,
0,Arctic Transportation,OME,"Nome, AK",UNK,"Unalakleet, AK",1
